"環境","ファイルパス","ブロック種別","ラベル1","ラベル2","開始行","終了行","総行数","空白行数","コメント行数","コード行数","有効ステップ数"
"j3","j3/network/vpc.tf","variable","env_name","-",53,55,3,0,0,3,3
"j3","j3/network/vpc.tf","output","vpc_id","-",57,59,3,0,0,3,3
"st","st/compute/ec2.tf","(ブロック外)","-","-","","",5,4,1,0,0
"st","st/compute/ec2.tf","data","aws_ami","amazon_linux",3,11,9,1,0,8,8
"st","st/compute/ec2.tf","resource","aws_instance","app",13,28,16,3,0,13,13
"st","st/compute/ec2.tf","module","alb","-",30,35,6,1,0,5,5
"st","st/compute/ec2.tf","variable","instance_type","-",37,40,4,0,0,4,4
"st","st/main.tf","(ブロック外)","-","-","","",3,2,1,0,0
"st","st/main.tf","provider","aws","-",3,5,3,0,0,3,3
"st","st/main.tf","variable","region","-",7,10,4,0,0,4,4
"st","st/network/vpc.tf","(ブロック外)","-","-","","",10,7,3,0,0
"st","st/network/vpc.tf","terraform","-","-",5,14,10,1,0,9,9
"st","st/network/vpc.tf","locals","-","-",16,22,7,0,1,6,6
"st","st/network/vpc.tf","resource","aws_vpc","main",24,33,10,1,1,8,8
"st","st/network/vpc.tf","resource","aws_internet_gateway","main",35,45,11,1,4,6,6
"st","st/network/vpc.tf","variable","vpc_cidr","-",47,51,5,0,0,5,5
"st","st/network/vpc.tf","variable","env_name","-",53,55,3,0,0,3,3
"st","st/network/vpc.tf","output","vpc_id","-",57,59,3,0,0,3,3
"pr","pr/compute/ec2.tf","(ブロック外)","-","-","","",5,4,1,0,0
"pr","pr/compute/ec2.tf","data","aws_ami","amazon_linux",3,11,9,1,0,8,8
"pr","pr/compute/ec2.tf","resource","aws_instance","app",13,28,16,3,0,13,13
"pr","pr/compute/ec2.tf","module","alb","-",30,35,6,1,0,5,5
"pr","pr/compute/ec2.tf","variable","instance_type","-",37,40,4,0,0,4,4
"pr","pr/network/subnet.tf","(ブロック外)","-","-","","",6,5,1,0,0
"pr","pr/network/subnet.tf","resource","aws_subnet","public",3,13,11,2,0,9,9
"pr","pr/network/subnet.tf","resource","aws_subnet","private",15,25,11,2,0,9,9
"pr","pr/network/subnet.tf","variable","public_subnets","-",27,30,4,0,0,4,4
"pr","pr/network/subnet.tf","variable","private_subnets","-",32,35,4,0,0,4,4
"pr","pr/network/subnet.tf","variable","azs","-",37,40,4,0,0,4,4
"pr","pr/network/vpc.tf","(ブロック外)","-","-","","",10,7,3,0,0
"pr","pr/network/vpc.tf","terraform","-","-",5,14,10,1,0,9,9
"pr","pr/network/vpc.tf","locals","-","-",16,22,7,0,1,6,6
"pr","pr/network/vpc.tf","resource","aws_vpc","main",24,33,10,1,1,8,8
"pr","pr/network/vpc.tf","resource","aws_internet_gateway","main",35,45,11,1,4,6,6
"pr","pr/network/vpc.tf","variable","vpc_cidr","-",47,51,5,0,0,5,5
"pr","pr/network/vpc.tf","variable","env_name","-",53,55,3,0,0,3,3
"pr","pr/network/vpc.tf","output","vpc_id","-",57,59,3,0,0,3,3
